refDate,reporterISO,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,primaryValue
2021-01-01,MYS,Malaysia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,615977900.0,False,615977900.0,False,0.0,False,260121548.223
2021-01-01,NAM,Namibia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1136654.0,False,1136654.0,False,0.0,False,626984.231
2021-01-01,NLD,Netherlands,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,5473221749.0,False,5473221749.0,False,0.0,False,2294149374.186
2021-01-01,NZL,New Zealand,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,386717000.0,False,386717000.0,False,388141807.0,False,159450966.811
2021-01-01,NIC,Nicaragua,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,53471000.0,False,53471000.0,False,0.0,False,23012529.37
2021-01-01,NOR,Norway,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,337834600.0,False,337834600.0,False,0.0,False,134881935.479
2021-01-01,PAK,Pakistan,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,658300000.0,False,658300000.0,False,0.0,False,219177595.459
2021-01-01,PHL,Philippines,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,322929000.0,False,322929000.0,False,274460000.0,False,80528298.0
2021-01-01,POL,Poland,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1993823500.0,False,1993823500.0,False,0.0,False,702926996.0
2021-01-01,PRT,Portugal,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,770273800.0,False,770273800.0,False,0.0,False,290194559.296
2021-01-01,QAT,Qatar,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,2898.0,False,2898.0,False,0.0,False,28579.865
2021-01-01,KOR,Rep. of Korea,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,10304322160.0,False,10304322160.0,False,0.0,False,4012042775.0
2021-01-01,ROU,Romania,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,688994030.0,False,688994030.0,False,0.0,False,266921556.54
2021-01-01,RUS,Russian Federation,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,96750.0,False,96750.0,False,0.0,False,16991.0
2021-01-01,SRB,Serbia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,189914423.0,False,189914423.0,False,0.0,False,72930533.0
2021-01-01,SGP,Singapore,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,3064741544.977,True,3064741544.977,True,0.0,False,1182419008.345
2021-01-01,SVK,Slovakia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,419424935.0,False,419424935.0,False,0.0,False,153745603.294
2021-01-01,ZAF,South Africa,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,747382900.0,False,747382900.0,False,0.0,False,263881368.906
2021-01-01,ESP,Spain,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,4747818560.36,False,4747818560.36,False,0.0,False,1817526188.306
