Time,AUD,CAD,EUR,GBP,IDR,KRW,MXN,PLN,USD,others
2020-12-21 00:00:00 UTC,387.4147638,86.92153893,19294.0248948399,6121.52805413999,412.56760057,391.614965834734,,2882.5448098,67286.3214581756,38.168654319999995
2020-12-22 00:00:00 UTC,279.47489486,68.28985361,12904.75663557,5232.40985986,231.34536728,346.92122868818,,2528.90648484,45451.5851125511,24.103426210000002
2020-12-23 00:00:00 UTC,348.82580719,101.16856975,16215.38092499,5811.96456217,345.68740097,448.790711212529,81.4071760000001,3262.09662561,61560.1712033718,34.87069336
2020-12-24 00:00:00 UTC,251.37678027,69.73799796,11017.58927346,5038.76732244,204.81161747,266.937073100281,180.64936247,1945.226098,37212.6780782523,36.43187237
2020-12-25 00:00:00 UTC,253.22741336,80.45463573,13385.06497679,6614.33953193,263.57334395,363.675129846344,155.12059621,2034.29280464,45697.2987553327,38.65934456
2020-12-26 00:00:00 UTC,377.85786824,137.15602683,16442.83716682,5841.81538634,278.51999339,440.687324986018,250.37126227,2151.63182921,58215.2853092292,49.61482003999999
2020-12-27 00:00:00 UTC,582.59334151,144.4497554,26540.2890025299,7619.49378696,588.10366718,597.966443610951,345.76742042,3558.61949876,84402.6953387685,85.13035374
2020-12-28 00:00:00 UTC,257.03328199,106.53325938,13455.51568947,5544.54866733,209.82196241,302.056050483372,175.23660535,2649.47945658,49066.3146308362,47.257138729999994
2020-12-29 00:00:00 UTC,229.48709393,103.83911987,13792.96478434,5517.45825774,286.57028147,353.27468593143,228.51435437,1763.70596369,51194.9539750918,38.65567549
2020-12-30 00:00:00 UTC,303.70241205,124.30691019,17582.91978496,5708.48879101,382.15100324,339.268636535448,353.1063134,3429.02323609,66061.0711020103,41.53858842
2020-12-31 00:00:00 UTC,280.39696594,130.73726537,14951.75469689,5620.74974884,268.21647066,263.784786569928,242.48648624,1543.95559319,61451.6696344454,40.53193856
2021-01-01 00:00:00 UTC,246.96883673,87.58931054,9687.27134655,4817.14177952,208.81723218,221.473101470867,161.1474068,2158.92525373,48656.9041150526,31.328728740000003
2021-01-02 00:00:00 UTC,622.7541316,187.29676784,30136.7222700298,7877.66139977999,500.79659484,558.830507759162,521.58542324,1991.62301366,111907.765286086,61.232828319999996
2021-01-03 00:00:00 UTC,536.41313364,222.94323273,25136.6054917397,7166.42889203999,462.98368721,688.246839156394,300.12004046,1686.15903205,86976.9609764839,59.60493164
2021-01-04 00:00:00 UTC,880.02804535,173.11980085,28904.2613731799,7938.53777872997,689.99108684,696.62804721564,709.72265997,3909.10471387,113348.169654789,71.99407542
2021-01-05 00:00:00 UTC,413.60761541,205.64073292,23219.7126982799,6105.65110692,342.26847181,447.732597983032,432.77268814,2957.76459858,88799.5181622599,44.06782394
2021-01-06 00:00:00 UTC,523.76112108,214.11828021,23831.2918543399,6798.17266426998,449.652813540001,512.681348156144,542.37261673,2526.10671223,104955.838499646,49.23065769
2021-01-07 00:00:00 UTC,651.02644502,271.88559518,32185.7015335699,7699.98366880999,538.137224910001,530.987986849653,625.81515329,2310.03591669,126527.68556012,71.57256711
2021-01-08 00:00:00 UTC,638.43438011,193.56609463,27708.7148919398,8203.16379411997,605.032418560001,560.242068486839,547.231456,1868.22638602,115834.628335269,57.59486342999999
2021-01-09 00:00:00 UTC,260.33595493,84.13119903,10881.94654069,5807.33602135,246.93358742,374.679283421366,210.93824318,1011.51707338,54433.0937805015,35.54275315
2021-01-10 00:00:00 UTC,497.06558572,207.49013749,25099.9135535499,7745.9788032199,386.67493337,619.384881389895,406.40681727,1620.61973443,99682.4328133149,62.36619175
2021-01-11 00:00:00 UTC,1354.35416908,418.46347192,61889.8313579695,14113.2214776297,974.5910215,845.963998599677,1052.17984045,1580.21008467,242816.253612034,83.2585668699999
2021-01-12 00:00:00 UTC,503.62281045,169.45665352,34193.23841349,7680.61776907,418.50490566,502.696395812996,394.70179303,1304.97148767,129556.48659028,45.02045636
2021-01-13 00:00:00 UTC,425.08385855,202.60767403,36173.5260603599,6266.77870009,383.92016013,380.189503304439,347.68503371,1246.6053757,93064.7425107557,33.40215866
2021-01-14 00:00:00 UTC,396.93562989,257.86752895,23032.6122530899,4018.11718278,325.29850925,444.296800856169,301.63057852,1654.77044683,74181.4612689112,46.169086220000004
2021-01-15 00:00:00 UTC,318.53967501,257.01349796,18837.3291363899,2939.98382947999,320.30709901,472.335512990378,344.66090057,1254.16131307,83361.9826957321,42.19468952
2021-01-16 00:00:00 UTC,153.49441007,65.72283675,10140.20877246,1514.13122703,211.08065398,297.059577427467,175.89911216,1590.76834196,50592.1154503467,30.971198389999998
2021-01-17 00:00:00 UTC,306.69328811,122.72359341,10736.56778595,1694.97956922,230.9466994,345.68367378233,117.59604076,2297.99820697,46978.1711150242,29.10848521
2021-01-18 00:00:00 UTC,244.97430229,100.1350322,9962.82052612,813.619037689999,223.35776363,272.366798070191,174.32364081,1580.63585789,36024.591085578,27.677641859999998
2021-01-19 00:00:00 UTC,242.8693443,193.63936149,10862.58001993,1623.18374511,243.97170709,302.354883106804,187.9203888,1740.09809464,44237.1552767896,46.50973826
2021-01-20 00:00:00 UTC,380.69638936,152.5652066,14135.93587249,1795.99785034999,290.90345438,335.17697350684,275.41919487,1676.24636666,60336.3971215367,34.46975214
2021-01-21 00:00:00 UTC,671.92550262,278.22692014,26715.4197228899,3672.66050169993,395.29671006,619.654246783423,563.07881783,1003.9553983,119066.934156101,38.6042319
