refDate,reporterISO,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,primaryValue,value_per_unit
2024-10-01,HUN,Hungary,Import,World,710813,"Metals; gold, semi-manufactured",kg,199.602,False,111.119,False,0.0,False,9085885.0,45520.00981954089
2024-10-01,ISL,Iceland,Import,World,710811,"Metals; gold, non-monetary, powder",kg,4.025,True,4.025,True,0.0,False,27859.847,6921.701118012422
2024-10-01,ISL,Iceland,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,3.0,False,3.0,False,0.0,False,34975.177,11658.392333333335
2024-10-01,IND,India,Import,World,284330,Gold compounds,kg,7456.005,True,7456.005,True,0.0,False,170888291.759,22919.55165789186
2024-10-01,IND,India,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,85742.356,True,85742.356,True,0.0,False,7126967733.84,83120.73596204892
2024-10-01,IND,India,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,84920.0,False,84920.0,False,0.0,False,7056491026.502,83095.74925226095
2024-10-01,IND,India,Import,World,710813,"Metals; gold, semi-manufactured",kg,822.356,True,822.356,True,0.0,False,70476707.337,85700.97054925117
2024-10-01,IDN,Indonesia,Import,World,284330,Gold compounds,kg,16.0,False,16.0,False,0.0,False,410139.0,25633.6875
2024-10-01,IRL,Ireland,Import,World,284330,Gold compounds,kg,3.006,True,3.006,True,0.0,False,6362.687,2116.6623419827015
2024-10-01,IRL,Ireland,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,62.773,True,189.465,True,0.0,False,2476860.448,39457.4171698023
2024-10-01,IRL,Ireland,Import,World,710811,"Metals; gold, non-monetary, powder",kg,0.0,True,0.0,True,0.0,False,11.995,inf
2024-10-01,IRL,Ireland,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,0.916,True,10.08,True,0.0,False,127633.21,139337.5655021834
2024-10-01,IRL,Ireland,Import,World,710813,"Metals; gold, semi-manufactured",kg,61.857,True,179.385,True,0.0,False,2349215.243,37978.16323132386
2024-10-01,ISR,Israel,Import,World,284330,Gold compounds,kg,16.183,True,16.183,True,0.0,False,667000.0,41216.09095964902
2024-10-01,ISR,Israel,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,265.272,True,265.272,True,0.0,False,17415000.0,65649.59739437257
2024-10-01,ISR,Israel,Import,World,710811,"Metals; gold, non-monetary, powder",kg,0.163,True,0.163,True,0.0,False,10000.0,61349.69325153374
2024-10-01,ISR,Israel,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,125.309,True,125.309,True,0.0,False,8281000.0,66084.63877295326
2024-10-01,ISR,Israel,Import,World,710813,"Metals; gold, semi-manufactured",kg,139.801,True,139.801,True,0.0,False,9124000.0,65264.19696568695
2024-10-01,ITA,Italy,Import,World,284330,Gold compounds,kg,260.066,False,279.0,False,0.0,False,500730.922,1925.3994063045536
2024-10-01,ITA,Italy,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,17976.931,False,18054.001,False,0.0,False,1066932756.954,59350.105808049215
2024-10-01,ITA,Italy,Import,World,710811,"Metals; gold, non-monetary, powder",kg,3.634,False,11.0,False,0.0,False,309587.519,85191.94248761695
2024-10-01,ITA,Italy,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,9032.309,False,9081.0,False,0.0,False,692922193.869,76715.95312660362
2024-10-01,ITA,Italy,Import,World,710813,"Metals; gold, semi-manufactured",kg,8940.988,False,8962.001,False,0.0,False,373700975.565,41796.38486988239
2024-10-01,JPN,Japan,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,318.672,False,318.672,False,0.0,False,23288321.177,73079.28270133554
2024-10-01,JPN,Japan,Import,World,710811,"Metals; gold, non-monetary, powder",kg,144.458,False,144.458,False,0.0,False,12164753.679,84209.62272079081
2024-10-01,JPN,Japan,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,60.934,False,60.934,False,0.0,False,5147852.944,84482.43909804052
2024-10-01,JPN,Japan,Import,World,710813,"Metals; gold, semi-manufactured",kg,113.28,False,113.28,False,0.0,False,5975714.554,52751.71746115819
2024-10-01,LVA,Latvia,Import,World,284330,Gold compounds,kg,0.024,False,0.024,False,0.0,False,1331.421,55475.875
2024-10-01,LVA,Latvia,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,38.568,False,39.051,False,0.0,False,3228438.258,83707.6918170504
2024-10-01,LVA,Latvia,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,0.05,False,0.05,False,0.0,False,97.049,1940.98
2024-10-01,LVA,Latvia,Import,World,710813,"Metals; gold, semi-manufactured",kg,38.518,False,39.001,False,0.0,False,3228341.21,83813.83275351784
2024-10-01,LTU,Lithuania,Import,World,284330,Gold compounds,kg,0.03,False,0.03,False,0.0,False,1459.0,48633.333333333336
2024-10-01,LTU,Lithuania,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,55.383,False,54.88,False,0.0,False,4506135.0,81363.14392503114
2024-10-01,LTU,Lithuania,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,5.002,False,5.002,False,0.0,False,427950.0,85555.77768892443
2024-10-01,LTU,Lithuania,Import,World,710813,"Metals; gold, semi-manufactured",kg,50.381,False,49.878,False,0.0,False,4078185.0,80946.8847382942
2024-10-01,LUX,Luxembourg,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,38.569,False,98.013,False,0.0,False,3155157.366,81805.52687391428
2024-10-01,LUX,Luxembourg,Import,World,710811,"Metals; gold, non-monetary, powder",kg,0.112,False,1.603,False,0.0,False,2360.17,21072.946428571428
2024-10-01,LUX,Luxembourg,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,2.054,False,2.109,False,0.0,False,100654.24,49004.011684518024
2024-10-01,LUX,Luxembourg,Import,World,710813,"Metals; gold, semi-manufactured",kg,36.403,False,94.301,False,0.0,False,3052142.957,83843.1710848007
2024-10-01,MYS,Malaysia,Import,World,284330,Gold compounds,kg,2044.741,False,2044.741,False,0.0,False,4417071.418,2160.210715195714
